Macrotrends Data Download

CAC 40 Index - 27 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1992-02-03,1857.0000
1992-02-04,1856.5000
1992-02-05,1865.8000
1992-02-06,1860.6000
1992-02-07,1861.6000
1992-02-10,1865.6000
1992-02-11,1864.1000
1992-02-12,1861.6000
1992-02-13,1876.5000
1992-02-14,1865.1000
1992-02-17,1882.1000
1992-02-18,1912.2000
1992-02-19,1915.4000
1992-02-20,1951.2000
1992-02-21,1962.4000
1992-02-24,1976.5000
1992-02-25,1953.5000
1992-02-26,1981.3000
1992-02-27,1985.1000
1992-02-28,1983.4000
1992-03-02,1979.7000
1992-03-03,1983.8000
1992-03-04,1988.1000
1992-03-05,1973.0000
1992-03-06,1966.9000
1992-03-09,1976.3000
1992-03-10,1993.9000
1992-03-11,1968.0000
1992-03-12,1941.8000
1992-03-13,1947.1000
1992-03-16,1929.2000
1992-03-17,1943.6000
1992-03-18,1928.2000
1992-03-19,1922.0000
1992-03-20,1919.1000
1992-03-23,1884.6000
1992-03-24,1896.3000
1992-03-25,1928.3000
1992-03-26,1934.8000
1992-03-27,1923.5000
1992-03-30,1943.8000
1992-03-31,1942.4000
1992-04-01,1928.1000
1992-04-02,1942.0000
1992-04-03,1942.7000
1992-04-06,1974.8000
1992-04-07,1975.4000
1992-04-08,1907.5000
1992-04-09,1943.6000
1992-04-10,1974.1000
1992-04-13,1963.3000
1992-04-14,1972.3000
1992-04-15,1990.7000
1992-04-16,1978.2000
1992-04-21,1980.4000
1992-04-22,1983.7000
1992-04-23,1978.1000
1992-04-24,1984.9000
1992-04-27,1995.7000
1992-04-28,2006.6000
1992-04-29,2036.7000
1992-04-30,2031.1000
1992-05-04,2041.6000
1992-05-05,2046.9000
1992-05-06,2047.2000
1992-05-07,2063.3999
1992-05-11,2077.5000
1992-05-12,2063.6001
1992-05-13,2053.2000
1992-05-14,2017.0000
1992-05-15,2024.0000
1992-05-18,2051.6001
1992-05-19,2023.1000
1992-05-20,2030.8000
1992-05-21,2016.8000
1992-05-22,2045.1000
1992-05-25,2046.3000
1992-05-26,2029.6000
1992-05-27,2014.1000
1992-05-29,2033.3000
1992-06-01,2017.4000
1992-06-02,2024.9000
1992-06-03,1992.6000
1992-06-04,1994.9000
1992-06-05,1981.6000
1992-06-09,1962.2000
1992-06-10,1953.7000
1992-06-11,1928.8000
1992-06-12,1928.3000
1992-06-15,1918.1000
1992-06-16,1931.4000
1992-06-17,1908.8000
1992-06-18,1891.8000
1992-06-19,1913.9000
1992-06-22,1885.8000
1992-06-23,1895.8000
1992-06-24,1899.6000
1992-06-25,1920.3000
1992-06-26,1915.3000
1992-06-29,1907.3000
1992-06-30,1900.6000
1992-07-01,1880.9000
1992-07-02,1873.5000
1992-07-03,1883.6000
1992-07-06,1868.5000
1992-07-07,1879.1000
1992-07-08,1847.8000
1992-07-09,1861.8000
1992-07-10,1859.4000
1992-07-15,1853.3000
1992-07-16,1851.2000
1992-07-17,1801.8000
1992-07-20,1767.9000
1992-07-21,1762.7000
1992-07-22,1727.5000
1992-07-23,1734.6000
1992-07-24,1734.6000
1992-07-27,1755.4000
1992-07-28,1769.0000
1992-07-29,1801.6000
1992-07-30,1782.6000
1992-07-31,1754.7000
1992-08-03,1784.4000
1992-08-04,1787.6000
1992-08-05,1798.0000
1992-08-06,1793.8000
1992-08-07,1777.3000
1992-08-10,1755.2000
1992-08-11,1737.8000
1992-08-12,1730.1000
1992-08-13,1722.4000
1992-08-14,1753.5000
1992-08-17,1757.3000
1992-08-18,1736.7000
1992-08-19,1734.2000
1992-08-20,1724.2000
1992-08-21,1744.2000
1992-08-24,1689.7000
1992-08-25,1667.7000
1992-08-26,1667.8000
1992-08-27,1687.6000
1992-08-28,1687.5000
1992-08-31,1684.9000
1992-09-01,1674.2000
1992-09-02,1711.4000
1992-09-03,1780.5000
1992-09-04,1779.0000
1992-09-07,1779.3000
1992-09-08,1763.7000
1992-09-09,1756.8000
1992-09-10,1774.2000
1992-09-11,1802.0000
1992-09-14,1873.6000
1992-09-15,1836.2000
1992-09-16,1859.8000
1992-09-17,1852.7000
1992-09-18,1882.9000
1992-09-21,1826.1000
1992-09-22,1832.8000
1992-09-23,1828.9000
1992-09-24,1829.5000
1992-09-25,1843.5000
1992-09-28,1770.3000
1992-09-29,1731.9000
1992-09-30,1736.7000
1992-10-01,1724.0000
1992-10-02,1683.3000
1992-10-05,1611.0000
1992-10-06,1612.5000
1992-10-07,1654.2000
1992-10-08,1673.9000
1992-10-09,1657.3000
1992-10-12,1655.1000
1992-10-13,1685.1000
1992-10-14,1667.9000
1992-10-15,1650.0000
1992-10-16,1664.2000
1992-10-19,1679.1000
1992-10-20,1731.3000
1992-10-21,1722.2000
1992-10-22,1730.7000
1992-10-23,1766.4000
1992-10-26,1770.7000
1992-10-27,1774.5000
1992-10-28,1749.9000
1992-10-29,1730.9000
1992-10-30,1742.4000
1992-11-03,1786.9000
1992-11-04,1804.1000
1992-11-05,1804.7000
1992-11-06,1793.6000
1992-11-09,1786.7000
1992-11-10,1798.5000
1992-11-12,1821.5000
1992-11-13,1796.8000
1992-11-16,1772.7000
1992-11-17,1764.4000
1992-11-18,1759.2000
1992-11-19,1722.3000
1992-11-20,1724.2000
1992-11-23,1674.8000
1992-11-24,1720.6000
1992-11-25,1721.0000
1992-11-26,1739.7000
1992-11-27,1749.7000
1992-11-30,1771.4000
1992-12-01,1792.3000
1992-12-02,1783.3000
1992-12-03,1799.4000
1992-12-04,1781.7000
1992-12-07,1788.6000
1992-12-08,1765.9000
1992-12-09,1791.2000
1992-12-10,1769.5000
1992-12-11,1758.7000
1992-12-14,1738.3000
1992-12-15,1744.8000
1992-12-16,1736.7000
1992-12-17,1735.2000
1992-12-18,1760.1000
1992-12-21,1786.3000
1992-12-22,1824.4000
1992-12-23,1821.1000
1992-12-24,1854.6000
1992-12-28,1857.5000
1992-12-29,1870.3000
1992-12-30,1858.8000
1992-12-31,1857.8000
1993-01-04,1843.1000
1993-01-05,1850.8000
1993-01-06,1859.6000
1993-01-07,1844.5000
1993-01-08,1852.6000
1993-01-11,1814.6000
1993-01-12,1796.8000
1993-01-13,1782.5000
1993-01-14,1803.5000
1993-01-15,1827.1000
1993-01-18,1837.5000
1993-01-19,1837.7000
1993-01-20,1818.8000
1993-01-21,1812.2000
1993-01-22,1820.4000
1993-01-25,1779.9000
1993-01-26,1792.6000
1993-01-27,1777.4000
1993-01-28,1780.6000
1993-01-29,1772.2000
1993-02-01,1785.9000
1993-02-02,1787.3000
1993-02-03,1824.1000
1993-02-04,1854.4000
1993-02-05,1908.2000
1993-02-08,1904.7000
1993-02-09,1894.1000
1993-02-10,1893.3000
1993-02-11,1905.6000
1993-02-12,1912.0000
1993-02-15,1899.5000
1993-02-16,1878.2000
1993-02-17,1905.0000
1993-02-18,1926.5000
1993-02-19,1937.2000
1993-02-22,1959.2000
1993-02-23,1944.1000
1993-02-24,1953.4000
1993-02-25,1944.6000
1993-02-26,1983.7000
1993-03-01,1998.8000
1993-03-02,2001.5000
1993-03-03,1995.2000
1993-03-04,1986.8000
1993-03-05,1995.1000
1993-03-08,2004.3000
1993-03-09,2009.7000
1993-03-10,1992.4000
1993-03-11,1988.9000
1993-03-12,1965.2000
1993-03-15,1986.0000
1993-03-16,1975.3000
1993-03-17,1967.3000
1993-03-18,1963.5000
1993-03-19,1962.7000
1993-03-22,1939.3000
1993-03-23,1952.2000
