"date","Mkt.RF","RF"
2016-05-13,-0.82,0.001
2016-05-16,0.99,0.001
2016-05-17,-0.95,0.001
2016-05-18,0.1,0.001
2016-05-19,-0.33,0.001
2016-05-20,0.75,0.001
2016-05-23,-0.18,0.001
2016-05-24,1.43,0.001
2016-05-25,0.72,0.001
2016-05-26,-0.04,0.001
2016-05-27,0.49,0.001
2016-05-31,-0.01,0.001
2016-06-01,0.2,0.001
2016-06-02,0.35,0.001
2016-06-03,-0.38,0.001
2016-06-06,0.6,0.001
2016-06-07,0.12,0.001
2016-06-08,0.37,0.001
2016-06-09,-0.27,0.001
2016-06-10,-1.05,0.001
2016-06-13,-0.84,0.001
2016-06-14,-0.19,0.001
2016-06-15,-0.11,0.001
2016-06-16,0.24,0.001
2016-06-17,-0.3,0.001
2016-06-20,0.71,0.001
2016-06-21,0.21,0.001
2016-06-22,-0.2,0.001
2016-06-23,1.45,0.001
2016-06-24,-3.7,0.001
2016-06-27,-2.07,0.001
2016-06-28,1.76,0.001
2016-06-29,1.8,0.001
2016-06-30,1.42,0.001
2016-07-01,0.24,0.001
2016-07-05,-0.85,0.001
2016-07-06,0.62,0.001
2016-07-07,0.02,0.001
2016-07-08,1.6,0.001
2016-07-11,0.43,0.001
2016-07-12,0.75,0.001
2016-07-13,-0.05,0.001
2016-07-14,0.51,0.001
2016-07-15,-0.05,0.001
2016-07-18,0.25,0.001
2016-07-19,-0.22,0.001
2016-07-20,0.48,0.001
2016-07-21,-0.38,0.001
2016-07-22,0.48,0.001
2016-07-25,-0.27,0.001
2016-07-26,0.13,0.001
2016-07-27,-0.14,0.001
2016-07-28,0.18,0.001
2016-07-29,0.17,0.001
2016-08-01,-0.16,0.001
2016-08-02,-0.7,0.001
2016-08-03,0.45,0.001
2016-08-04,0.05,0.001
2016-08-05,0.93,0.001
2016-08-08,-0.06,0.001
2016-08-09,0.05,0.001
2016-08-10,-0.29,0.001
2016-08-11,0.54,0.001
2016-08-12,-0.06,0.001
2016-08-15,0.39,0.001
2016-08-16,-0.57,0.001
2016-08-17,0.12,0.001
2016-08-18,0.32,0.001
2016-08-19,-0.11,0.001
2016-08-22,-0.02,0.001
2016-08-23,0.27,0.001
2016-08-24,-0.56,0.001
2016-08-25,-0.08,0.001
2016-08-26,-0.15,0.001
2016-08-29,0.53,0.001
2016-08-30,-0.14,0.001
2016-08-31,-0.24,0.001
2016-09-01,0.03,0.001
2016-09-02,0.53,0.001
2016-09-06,0.26,0.001
2016-09-07,0.09,0.001
2016-09-08,-0.18,0.001
2016-09-09,-2.47,0.001
2016-09-12,1.44,0.001
2016-09-13,-1.48,0.001
2016-09-14,-0.08,0.001
2016-09-15,1.08,0.001
2016-09-16,-0.36,0.001
2016-09-19,0.05,0.001
2016-09-20,-0.02,0.001
2016-09-21,1.12,0.001
2016-09-22,0.7,0.001
2016-09-23,-0.6,0.001
2016-09-26,-0.88,0.001
2016-09-27,0.64,0.001
2016-09-28,0.56,0.001
2016-09-29,-0.98,0.001
2016-09-30,0.88,0.001
2016-10-03,-0.26,0.001
2016-10-04,-0.46,0.001
2016-10-05,0.58,0.001
2016-10-06,-0.06,0.001
2016-10-07,-0.38,0.001
2016-10-10,0.52,0.001
2016-10-11,-1.3,0.001
2016-10-12,0.06,0.001
2016-10-13,-0.42,0.001
2016-10-14,0.01,0.001
2016-10-17,-0.29,0.001
2016-10-18,0.6,0.001
2016-10-19,0.25,0.001
2016-10-20,-0.16,0.001
2016-10-21,0.02,0.001
2016-10-24,0.54,0.001
2016-10-25,-0.46,0.001
2016-10-26,-0.23,0.001
2016-10-27,-0.33,0.001
2016-10-28,-0.29,0.001
2016-10-31,0.02,0.001
2016-11-01,-0.68,0.001
2016-11-02,-0.73,0.001
2016-11-03,-0.4,0.001
2016-11-04,-0.12,0.001
2016-11-07,2.23,0.001
2016-11-08,0.4,0.001
2016-11-09,1.46,0.001
2016-11-10,0.32,0.001
2016-11-11,0.18,0.001
2016-11-14,0.21,0.001
2016-11-15,0.8,0.001
2016-11-16,-0.12,0.001
2016-11-17,0.56,0.001
2016-11-18,-0.16,0.001
2016-11-21,0.77,0.001
2016-11-22,0.31,0.001
2016-11-23,0.16,0.001
2016-11-25,0.4,0.001
2016-11-28,-0.64,0.001
2016-11-29,0.11,0.001
2016-11-30,-0.25,0.001
2016-12-01,-0.36,0.001
2016-12-02,0,0.001
2016-12-05,0.75,0.001
2016-12-06,0.48,0.001
2016-12-07,1.26,0.001
2016-12-08,0.36,0.001
2016-12-09,0.46,0.001
2016-12-12,-0.3,0.001
