"date","Mkt.RF","SMB","HML","RF"
2011-01-20,-0.29,-1.04,0.7,0
2011-01-21,0.11,-0.9,0.59,0
2011-01-24,0.65,0.3,-0.28,0
2011-01-25,0.02,0.01,0.12,0
2011-01-26,0.6,1.39,-0.23,0
2011-01-27,0.26,-0.1,0.35,0
2011-01-28,-1.88,-0.87,-0.04,0
2011-01-31,0.71,0.02,-0.28,0
2011-02-01,1.75,0.48,0.51,0.001
2011-02-02,-0.26,-0.03,-0.4,0.001
2011-02-03,0.26,-0.04,-0.05,0.001
2011-02-04,0.29,0.06,-0.52,0.001
2011-02-07,0.7,0.26,0.6,0.001
2011-02-08,0.48,0.22,0,0.001
2011-02-09,-0.31,-0.19,-0.07,0.001
2011-02-10,0.12,0.33,-0.3,0.001
2011-02-11,0.67,0.39,0.51,0.001
2011-02-14,0.3,0.21,-0.16,0.001
2011-02-15,-0.38,-0.36,0.31,0.001
2011-02-16,0.68,0.36,0.26,0.001
2011-02-17,0.37,0.36,0.18,0.001
2011-02-18,0.12,-0.1,0.05,0.001
2011-02-22,-2.19,-0.52,-0.3,0.001
2011-02-23,-0.78,-1.16,0.41,0.001
2011-02-24,0.04,0.72,-0.35,0.001
2011-02-25,1.22,1.01,0.25,0.001
2011-02-28,0.42,-0.44,0.25,0.001
2011-03-01,-1.58,-0.31,-0.06,0
2011-03-02,0.28,0.31,-0.29,0
2011-03-03,1.76,0.45,-0.05,0
2011-03-04,-0.67,0.28,-0.55,0
2011-03-07,-0.96,-0.74,0.1,0
2011-03-08,0.97,0.45,0.69,0
2011-03-09,-0.17,-0.27,0.33,0
2011-03-10,-1.93,-0.75,-0.32,0
2011-03-11,0.69,-0.34,0.14,0
2011-03-14,-0.59,0.11,-0.42,0
2011-03-15,-1.05,0.28,-0.15,0
2011-03-16,-1.77,0.64,-0.12,0
2011-03-17,1.12,-0.81,0.58,0
2011-03-18,0.49,0.54,0.2,0
2011-03-21,1.58,0.99,-0.24,0
2011-03-22,-0.34,-0.09,-0.05,0
2011-03-23,0.31,0.15,-0.45,0
2011-03-24,0.96,-0.09,-0.42,0
2011-03-25,0.41,0.42,-0.02,0
2011-03-28,-0.35,0.03,-0.22,0
2011-03-29,0.74,0.26,-0.23,0
2011-03-30,0.79,0.42,0.07,0
2011-03-31,-0.11,0.61,-0.3,0
2011-04-01,0.52,-0.12,0.21,0
2011-04-04,0.09,0.24,-0.13,0
2011-04-05,0.08,0.48,-0.22,0
2011-04-06,0.21,-0.2,0.65,0
2011-04-07,-0.2,-0.21,-0.19,0
2011-04-08,-0.47,-0.55,-0.28,0
2011-04-11,-0.39,-0.63,-0.05,0
2011-04-12,-0.84,-0.68,0.08,0
2011-04-13,0.11,0.15,-0.71,0
2011-04-14,0,0.38,-0.35,0
2011-04-15,0.44,0.58,-0.09,0
2011-04-18,-1.15,-0.39,-0.33,0
2011-04-19,0.5,-0.35,-0.19,0
2011-04-20,1.45,0.62,-0.58,0
2011-04-21,0.56,0.32,-0.07,0
2011-04-25,-0.16,-0.05,-0.04,0
2011-04-26,0.89,0.15,-0.01,0
2011-04-27,0.66,-0.11,-0.23,0
2011-04-28,0.32,-0.12,0.16,0
2011-04-29,0.29,0.2,-0.08,0
2011-05-02,-0.28,-0.9,-0.2,0
2011-05-03,-0.5,-1.03,0.42,0
2011-05-04,-0.74,-0.55,-0.09,0
2011-05-05,-0.82,0.5,-0.31,0
2011-05-06,0.46,0.04,-0.17,0
2011-05-09,0.55,0.67,-0.5,0
2011-05-10,0.86,0.66,0.26,0
2011-05-11,-1.09,-0.62,-0.41,0
2011-05-12,0.52,0.36,-0.42,0
2011-05-13,-0.88,-0.45,-0.33,0
2011-05-16,-0.76,-1.02,0.43,0
2011-05-17,-0.11,-0.48,0.16,0
2011-05-18,1.02,0.66,-0.31,0
2011-05-19,0.22,-0.04,-0.1,0
2011-05-20,-0.73,0.1,-0.19,0
2011-05-23,-1.29,-0.52,0.02,0
2011-05-24,-0.14,-0.28,-0.05,0
2011-05-25,0.45,1.03,-0.36,0
2011-05-26,0.52,0.68,-0.13,0
2011-05-27,0.49,0.19,0.23,0
2011-05-31,1.04,0.45,-0.04,0
2011-06-01,-2.33,-0.74,-0.29,0
2011-06-02,-0.1,-0.04,0.1,0
2011-06-03,-1.1,-0.54,0.16,0
2011-06-06,-1.18,-0.25,-0.31,0
2011-06-07,-0.04,0.32,-0.1,0
2011-06-08,-0.54,-0.73,0.06,0
2011-06-09,0.75,-0.09,0,0
2011-06-10,-1.37,-0.25,0.43,0
2011-06-13,0.01,-0.56,0.41,0
2011-06-14,1.36,1.06,-0.41,0
2011-06-15,-1.72,-0.02,-0.15,0
2011-06-16,0.12,-0.08,0.47,0
2011-06-17,0.25,-0.4,0.68,0
2011-06-20,0.58,0.39,-0.1,0
2011-06-21,1.52,0.97,-0.41,0
2011-06-22,-0.62,-0.11,0.02,0
2011-06-23,-0.14,0.65,-0.82,0
2011-06-24,-1.1,0.45,0.09,0
2011-06-27,0.89,0.05,-0.03,0
2011-06-28,1.36,0.44,-0.54,0
2011-06-29,0.77,-0.7,0.65,0
2011-06-30,0.99,0.18,-0.25,0
2011-07-01,1.45,-0.04,0.15,0
2011-07-05,-0.08,0.23,-0.85,0
2011-07-06,0.18,0.43,-0.58,0
2011-07-07,1.1,0.46,0.16,0
2011-07-08,-0.67,0.01,-0.41,0
2011-07-11,-1.91,-0.12,-0.33,0
2011-07-12,-0.45,0.03,0.43,0
2011-07-13,0.45,0.58,-0.14,0
2011-07-14,-0.82,-0.82,0.14,0
2011-07-15,0.58,0.11,-0.52,0
2011-07-18,-0.94,-0.57,-0.42,0
2011-07-19,1.72,0.57,-0.66,0
2011-07-20,-0.1,-0.32,0.79,0
2011-07-21,1.29,-0.36,1.1,0
2011-07-22,0.1,-0.1,-0.7,0
2011-07-25,-0.68,-0.59,0.14,0
2011-07-26,-0.47,-0.35,0.31,0
2011-07-27,-2.16,-0.76,0.39,0
2011-07-28,-0.31,0.11,-0.02,0
2011-07-29,-0.56,0.25,0.11,0
2011-08-01,-0.4,-0.16,0.15,0
2011-08-02,-2.68,-0.43,0.19,0
2011-08-03,0.58,0.24,-0.4,0
2011-08-04,-5.04,-0.8,0.39,0
2011-08-05,-0.36,-1.22,-0.58,0
2011-08-08,-6.97,-1.39,-1.63,0
2011-08-09,4.97,0.91,0.71,0
2011-08-10,-4.3,-0.5,-1.6,0
2011-08-11,4.72,0.24,0.79,0
2011-08-12,0.54,-0.24,-1.51,0
2011-08-15,2.25,0.46,1.01,0
2011-08-16,-1.07,-0.8,-0.14,0
2011-08-17,-0.01,-0.32,0.65,0
2011-08-18,-4.65,-0.97,0.53,0
2011-08-19,-1.55,0.13,-0.35,0
2011-08-22,-0.03,0.16,-0.91,0
2011-08-23,3.6,1.25,-0.77,0
2011-08-24,1.35,-0.18,1.01,0
2011-08-25,-1.67,-1.01,0.52,0
2011-08-26,1.74,0.86,-1.01,0
2011-08-29,3.11,1.52,0.92,0
2011-08-30,0.32,0.29,-0.76,0
2011-08-31,0.42,-0.81,0.49,0
2011-09-01,-1.33,-1.06,-0.78,0
2011-09-02,-2.64,-0.75,-0.75,0
2011-09-06,-0.72,0.51,-0.65,0
2011-09-07,3.06,0.89,1.03,0
2011-09-08,-1.18,-0.74,-0.61,0
2011-09-09,-2.65,-0.18,-0.03,0
2011-09-12,0.68,0,0.36,0
2011-09-13,1.12,0.78,-0.4,0
2011-09-14,1.45,0.42,-0.38,0
2011-09-15,1.64,-0.57,0.58,0
2011-09-16,0.47,-0.35,-0.36,0
2011-09-19,-0.99,-0.5,-1.28,0
2011-09-20,-0.45,-1.48,0.24,0
2011-09-21,-2.92,-0.32,-1.26,0
2011-09-22,-3.29,0.14,0.46,0
2011-09-23,0.74,0.65,-0.03,0
2011-09-26,2.28,-0.66,1.28,0
2011-09-27,1.22,1.06,-0.61,0
2011-09-28,-2.29,-1.65,-0.25,0
2011-09-29,0.77,0.57,2.11,0
2011-09-30,-2.5,-0.09,-0.21,0
2011-10-03,-3.18,-1.91,-0.61,0
2011-10-04,2.68,3.59,0.45,0
2011-10-05,1.92,-0.19,-0.46,0
2011-10-06,1.94,0.18,0.58,0
2011-10-07,-0.98,-1.24,-1.47,0
2011-10-10,3.44,0.45,0.64,0
2011-10-11,0.15,0.65,-0.12,0
2011-10-12,1.07,0.45,0.94,0
2011-10-13,-0.21,0.29,-1.27,0
2011-10-14,1.72,0.14,-0.33,0
2011-10-17,-2.06,-1.25,-0.51,0
2011-10-18,2.11,0.6,1.66,0
2011-10-19,-1.38,-0.75,0.32,0
2011-10-20,0.43,-0.32,0.74,0
2011-10-21,1.92,0.13,0.09,0
2011-10-24,1.59,1.74,-0.37,0
2011-10-25,-2.13,-0.88,-0.32,0
2011-10-26,1.12,0.65,0.8,0
2011-10-27,3.54,1.38,0.91,0
2011-10-28,-0.01,-0.56,-0.57,0
