Macrotrends Data Download

DAX 30 Index - 27 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1993-03-29,1674.9000
1993-03-30,1685.1000
1993-03-31,1684.2000
1993-04-01,1671.5000
1993-04-02,1661.8000
1993-04-05,1658.7000
1993-04-06,1665.4000
1993-04-07,1650.3000
1993-04-08,1655.7000
1993-04-13,1671.1000
1993-04-14,1672.4000
1993-04-15,1675.2000
1993-04-16,1678.9000
1993-04-19,1693.3000
1993-04-20,1687.1000
1993-04-21,1666.9000
1993-04-22,1666.7000
1993-04-23,1657.1000
1993-04-26,1649.8000
1993-04-27,1640.8000
1993-04-28,1628.9000
1993-04-29,1623.9000
1993-04-30,1627.2000
1993-05-03,1629.2000
1993-05-04,1627.4000
1993-05-05,1623.2000
1993-05-06,1623.3000
1993-05-07,1611.9000
1993-05-10,1609.0000
1993-05-11,1616.2000
1993-05-12,1629.5000
1993-05-13,1639.8000
1993-05-14,1634.5000
1993-05-17,1627.9000
1993-05-18,1628.5000
1993-05-19,1617.4000
1993-05-21,1610.6000
1993-05-24,1603.1000
1993-05-25,1618.2000
1993-05-26,1622.0000
1993-05-27,1634.5000
1993-05-28,1631.9000
1993-06-01,1619.9000
1993-06-02,1625.2000
1993-06-03,1629.6000
1993-06-04,1637.9000
1993-06-07,1655.6000
1993-06-08,1661.6000
1993-06-09,1673.1000
1993-06-11,1681.0000
1993-06-14,1692.0000
1993-06-15,1684.1000
1993-06-16,1689.6000
1993-06-17,1692.3000
1993-06-18,1686.9000
1993-06-21,1689.8000
1993-06-22,1698.1000
1993-06-23,1699.4000
1993-06-24,1686.3000
1993-06-25,1695.2000
1993-06-28,1707.2000
1993-06-29,1708.3000
1993-06-30,1697.6000
1993-07-01,1706.6000
1993-07-02,1697.8000
1993-07-05,1692.2000
1993-07-06,1700.9000
1993-07-07,1719.8000
1993-07-08,1783.7000
1993-07-09,1797.4000
1993-07-12,1818.2000
1993-07-13,1807.2000
1993-07-14,1811.6000
1993-07-15,1807.7000
1993-07-16,1813.5000
1993-07-19,1836.3000
1993-07-20,1839.0000
1993-07-21,1823.8000
1993-07-22,1823.5000
1993-07-23,1830.8000
1993-07-26,1854.5000
1993-07-27,1845.2000
1993-07-28,1833.9000
1993-07-29,1833.7000
1993-07-30,1803.2000
1993-08-02,1815.1000
1993-08-03,1843.4000
1993-08-04,1860.6000
1993-08-05,1860.7000
1993-08-06,1869.4000
1993-08-09,1872.3000
1993-08-10,1865.2000
1993-08-11,1865.8000
1993-08-12,1905.0000
1993-08-13,1906.6000
1993-08-16,1912.2000
1993-08-17,1910.2000
1993-08-18,1935.7000
1993-08-19,1939.0000
1993-08-20,1922.7000
1993-08-23,1888.3000
1993-08-24,1897.7000
1993-08-25,1917.8000
1993-08-26,1901.2000
1993-08-27,1904.6000
1993-08-30,1921.9000
1993-08-31,1944.9000
1993-09-01,1918.6000
1993-09-02,1925.6000
1993-09-03,1925.2000
1993-09-06,1910.3000
1993-09-07,1886.0000
1993-09-08,1885.3000
1993-09-09,1880.8000
1993-09-10,1861.4000
1993-09-13,1872.6000
1993-09-14,1880.6000
1993-09-15,1860.4000
1993-09-16,1855.7000
1993-09-17,1882.0000
1993-09-20,1912.8000
1993-09-21,1925.9000
1993-09-22,1893.0000
1993-09-23,1916.5000
1993-09-24,1885.9000
1993-09-27,1912.2000
1993-09-28,1913.6000
1993-09-29,1907.7000
1993-09-30,1915.7000
1993-10-01,1912.1000
1993-10-04,1923.7000
1993-10-05,1972.7000
1993-10-06,1987.1000
1993-10-07,1997.0000
1993-10-08,2005.0000
1993-10-11,2011.0000
1993-10-12,1998.6000
1993-10-13,2001.5000
1993-10-14,1990.1000
1993-10-15,2015.0000
1993-10-18,2033.3000
1993-10-19,2026.8000
1993-10-20,2042.6000
1993-10-21,2034.7000
1993-10-22,2066.2000
1993-10-25,2074.3999
1993-10-26,2058.7000
1993-10-27,2043.1000
1993-10-28,2038.5000
1993-10-29,2069.0000
1993-11-01,2062.1001
1993-11-02,2095.6001
1993-11-03,2084.3999
1993-11-04,2062.6001
1993-11-05,2012.6000
1993-11-08,2010.8000
1993-11-09,2022.8000
1993-11-10,2023.8000
