"","date","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6","w_ge_t7"
"286",2018-11-11,1,0,0,0,0,0,0,0
"287",2018-11-12,1,0,0,0,0,0,0,0
"288",2018-11-13,1,0,0,0,0,0,0,0
"289",2018-11-14,0,1,0,0,0,0,0,0
"290",2018-11-15,0,1,0,0,0,0,0,0
"291",2018-11-16,0,1,0,0,0,0,0,0
"292",2018-11-17,0,1,0,0,0,0,0,0
"293",2018-11-18,0,1,0,0,0,0,0,0
"294",2018-11-19,0,1,0,0,0,0,0,0
"295",2018-11-20,0,1,0,0,0,0,0,0
"296",2018-11-21,0,0,1,0,0,0,0,0
"297",2018-11-22,0,0,1,0,0,0,0,0
"298",2018-11-23,0,0,1,0,0,0,0,0
"299",2018-11-24,0,0,1,0,0,0,0,0
"300",2018-11-25,0,0,1,0,0,0,0,0
"301",2018-11-26,0,0,1,0,0,0,0,0
"302",2018-11-27,0,0,1,0,0,0,0,0
"303",2018-11-28,0,0,0,1,0,0,0,0
"304",2018-11-29,0,0,0,1,0,0,0,0
"305",2018-11-30,0,0,0,1,0,0,0,0
"306",2018-12-01,0,0,0,1,0,0,0,0
"307",2018-12-02,0,0,0,1,0,0,0,0
"308",2018-12-03,0,0,0,1,0,0,0,0
"309",2018-12-04,0,0,0,1,0,0,0,0
"310",2018-12-05,0,0,0,0,1,0,0,0
"311",2018-12-06,0,0,0,0,1,0,0,0
"312",2018-12-07,0,0,0,0,1,0,0,0
"313",2018-12-08,0,0,0,0,1,0,0,0
"314",2018-12-09,0,0,0,0,1,0,0,0
"315",2018-12-10,0,0,0,0,1,0,0,0
"316",2018-12-11,0,0,0,0,1,0,0,0
"317",2018-12-12,0,0,0,0,0,1,0,0
"318",2018-12-13,0,0,0,0,0,1,0,0
"319",2018-12-14,0,0,0,0,0,1,0,0
"320",2018-12-15,0,0,0,0,0,1,0,0
"321",2018-12-16,0,0,0,0,0,1,0,0
"322",2018-12-17,0,0,0,0,0,1,0,0
"323",2018-12-18,1,0,0,0,0,0,0,0
"324",2018-12-19,1,0,0,0,0,0,0,0
"325",2018-12-20,1,0,0,0,0,0,0,0
"326",2018-12-21,1,0,0,0,0,0,0,0
"327",2018-12-22,1,0,0,0,0,0,0,0
"328",2018-12-23,1,0,0,0,0,0,0,0
"329",2018-12-24,1,0,0,0,0,0,0,0
"330",2018-12-25,0,1,0,0,0,0,0,0
"331",2018-12-26,0,1,0,0,0,0,0,0
"332",2018-12-27,0,1,0,0,0,0,0,0
"333",2018-12-28,0,1,0,0,0,0,0,0
"334",2018-12-29,0,1,0,0,0,0,0,0
"335",2018-12-30,0,1,0,0,0,0,0,0
"336",2018-12-31,0,1,0,0,0,0,0,0
"337",2019-01-01,0,0,1,0,0,0,0,0
"338",2019-01-02,0,0,1,0,0,0,0,0
"339",2019-01-03,0,0,1,0,0,0,0,0
"340",2019-01-04,0,0,1,0,0,0,0,0
"341",2019-01-05,0,0,1,0,0,0,0,0
"342",2019-01-06,0,0,1,0,0,0,0,0
"343",2019-01-07,0,0,1,0,0,0,0,0
"344",2019-01-08,0,0,0,1,0,0,0,0
"345",2019-01-09,0,0,0,1,0,0,0,0
"346",2019-01-10,0,0,0,1,0,0,0,0
"347",2019-01-11,0,0,0,1,0,0,0,0
"348",2019-01-12,0,0,0,1,0,0,0,0
"349",2019-01-13,0,0,0,1,0,0,0,0
"350",2019-01-14,0,0,0,1,0,0,0,0
"351",2019-01-15,0,0,0,0,1,0,0,0
"352",2019-01-16,0,0,0,0,1,0,0,0
"353",2019-01-17,0,0,0,0,1,0,0,0
"354",2019-01-18,0,0,0,0,1,0,0,0
"355",2019-01-19,0,0,0,0,1,0,0,0
"356",2019-01-20,0,0,0,0,1,0,0,0
"357",2019-01-21,0,0,0,0,1,0,0,0
"358",2019-01-22,0,0,0,0,0,1,0,0
"359",2019-01-23,0,0,0,0,0,1,0,0
"360",2019-01-24,0,0,0,0,0,1,0,0
"361",2019-01-25,0,0,0,0,0,1,0,0
"362",2019-01-26,0,0,0,0,0,1,0,0
"363",2019-01-27,0,0,0,0,0,1,0,0
"364",2019-01-28,0,0,0,0,0,1,0,0
"365",2019-01-29,1,0,0,0,0,0,0,0
"366",2019-01-30,1,0,0,0,0,0,0,0
"367",2019-01-31,1,0,0,0,0,0,0,0
"368",2019-02-01,1,0,0,0,0,0,0,0
"369",2019-02-02,1,0,0,0,0,0,0,0
"370",2019-02-03,1,0,0,0,0,0,0,0
"371",2019-02-04,1,0,0,0,0,0,0,0
"372",2019-02-05,0,1,0,0,0,0,0,0
"373",2019-02-06,0,1,0,0,0,0,0,0
"374",2019-02-07,0,1,0,0,0,0,0,0
"375",2019-02-08,0,1,0,0,0,0,0,0
"376",2019-02-09,0,1,0,0,0,0,0,0
"377",2019-02-10,0,1,0,0,0,0,0,0
"378",2019-02-11,0,1,0,0,0,0,0,0
"379",2019-02-12,0,0,1,0,0,0,0,0
"380",2019-02-13,0,0,1,0,0,0,0,0
"381",2019-02-14,0,0,1,0,0,0,0,0
"382",2019-02-15,0,0,1,0,0,0,0,0
"383",2019-02-16,0,0,1,0,0,0,0,0
"384",2019-02-17,0,0,1,0,0,0,0,0
"385",2019-02-18,0,0,1,0,0,0,0,0
